rank,name,symbol,category,revenue30d,annualizedRevenue,marketCap,revenueYield,marketCapSource,quality
141,SOFA.org,RCH,Options,4599.64,55962.28666666667,4300806.028455162,0.013012046183065867,DeFiLlama,Direct match
142,Livepeer,LPT,Video Infrastructure,70722,860451,70637541.7477843,0.012181213823554242,DeFiLlama,Direct match
143,Infinite Trading Protocol,ITP,AI Agents,20.819999999999997,253.30999999999995,20962.377777244274,0.012084029907856198,DeFiLlama,Direct match
144,Hyperlane,HYPER,Cross Chain Bridge,20583,250426.5,22576678.012222495,0.011092265206795475,DeFiLlama,Direct match
145,Rarible,RARI,Services,1889.0700000000002,22983.685,2122178.2158682533,0.010830233214224478,DeFiLlama,Direct match
146,Monad,MON,Chain,286525,3486054.1666666665,322950828.182952,0.010794380637698235,DeFiLlama,Direct match
147,Venice,VVV,Farm,714390,8691745,817492963.8921344,0.010632195485350805,DeFiLlama,Direct match
148,Gearbox,GEAR,Lending,3643.8100000000004,44333.021666666675,4460990.7449703785,0.009937931773709845,DeFiLlama,Direct match
149,Tron,TRX,Chain,25496851,310211687.1666667,31229985521.757423,0.009933135798303436,DeFiLlama,Direct match
150,Colend Protocol,CLND,Lending,95.45,1161.3083333333334,117321.14621989586,0.009898542340838411,DeFiLlama,Direct match
151,Rubicon,RUBI,Dexs,104.42999999999999,1270.5649999999998,130438.64608538483,0.009740709813626024,DeFiLlama,Direct match
152,ALEX,ALEX,Dexs,2730.3199999999997,33218.89333333333,3490569.831045163,0.009516753693876617,DeFiLlama,Direct match
153,NetSwap,NETT,Dexs,506,6156.333333333333,660742.0080776954,0.00931730275670534,DeFiLlama,Direct match
154,Treehouse Protocol,TREE,DOR,4698.57,57165.93499999999,6437005.125003139,0.008880827945584728,DeFiLlama,Direct match
155,Axie Infinity,AXS,Gaming,116858,1421772.3333333333,164602335.626108,0.008637619435503455,DeFiLlama,Direct match
156,Safe,SAFE,Services,50242,611277.6666666666,73554682.10024261,0.008310520135667208,DeFiLlama,Direct match
157,Banana Gun,BANANA,Telegram Bot,10608,129064,15736562.127384458,0.008201537219835669,DeFiLlama,Direct match
158,Liquidium,LIQ,Lending,696.46,8473.596666666668,1036790.293224458,0.008172912807963754,DeFiLlama,Direct match
159,THORChain DEX,RUNE,Dexs,106302.47,1293346.7183333333,160432042.61121076,0.008061648391946336,DeFiLlama,Direct match
160,Adrena Protocol,ADX,Derivatives,27.97,340.3016666666666,43433.503485128786,0.007835003841750473,DeFiLlama,Direct match
161,Bulla Exchange,BULLA,Dexs,6.74,82.00333333333333,10519.601811284021,0.007795288719518939,DeFiLlama,Direct match
162,Sperax USD,SPA,Yield Aggregator,319.93,3892.4816666666666,515226.61410993006,0.007554892468804333,DeFiLlama,Direct match
163,Mainstreet,MSY,Yield,14743,179373.16666666666,25620047.821817297,0.007001281493078152,DeFiLlama,Direct match
164,Almanak,ALMANAK,Onchain Capital Allocator,279.97999999999996,3406.4233333333327,498839.5590438668,0.006828695261984584,DeFiLlama,Direct match
165,Olympus DAO,OHM,Reserve Currency,158379,1926944.5,301761205.1447295,0.006385660141686559,DeFiLlama,Direct match
166,Trueo,TRUE,Prediction Market,804.69,9790.395,1609949.3952921692,0.006081181823869232,DeFiLlama,Direct match
167,Wrapped HLP,wHLP,Yield,740.52,9009.66,1515138.5200006224,0.005946426601309231,DeFiLlama,Direct match
168,Nexus Mutual,NXM,Insurance,53112.09,646197.095,108807009.54542659,0.005938928913676418,DeFiLlama,Direct match
